Dataset,ChunkIndex,CompressionImprovementPct,MaxBitWidth,MinBitWidth,MaxMinBitWidthDiff,BitWidthMean,BitWidthVar,BitWidthStd,BitWidthDiffAbsMean,BitWidthMedian,BitWidthP90,BitWidthChangeCount,BitWidthRunMean,ZeroFrac
City-temp.csv,41,4.276985743380855,11.0,1.0,10.0,10.970703125,0.2921104431152344,0.5404724258602231,0.05865102639296188,11.0,11.0,6,146.28571428571428,0.0029296875
City-temp.csv,42,4.276985743380855,11.0,1.0,10.0,10.94140625,0.5825042724609375,0.7632196751007783,0.07820136852394917,11.0,11.0,8,113.77777777777777,0.005859375
City-temp.csv,43,4.276985743380855,11.0,1.0,10.0,10.951171875,0.4858970642089844,0.6970631708883954,0.039100684261974585,11.0,11.0,4,204.8,0.0048828125
City-temp.csv,44,1.5775635407537247,9.0,1.0,8.0,8.0390625,1.19573974609375,1.093498855094851,0.20234604105571846,8.0,9.0,196,5.197969543147208,9.765625E-4
City-temp.csv,45,4.276985743380855,11.0,1.0,10.0,10.951171875,0.4858970642089844,0.6970631708883954,0.09775171065493646,11.0,11.0,10,93.0909090909091,0.0048828125
City-temp.csv,46,2.68630849220104,9.0,1.0,8.0,8.208984375,0.9739036560058594,0.986865571395547,0.16715542521994134,9.0,9.0,158,6.440251572327044,9.765625E-4
City-temp.csv,47,4.276985743380855,11.0,1.0,10.0,10.990234375,0.09756088256835938,0.312347374838271,0.019550342130987292,11.0,11.0,2,341.3333333333333,9.765625E-4
City-temp.csv,48,4.276985743380855,11.0,1.0,10.0,10.90234375,0.9670257568359375,0.9833746777479769,0.17595307917888564,11.0,11.0,18,53.89473684210526,0.009765625
City-temp.csv,49,4.276985743380855,11.0,1.0,10.0,10.86328125,1.3484954833984375,1.1612473825152148,0.19550342130987292,11.0,11.0,20,48.76190476190476,0.013671875
City-temp.csv,50,4.276985743380855,11.0,1.0,10.0,10.453125,5.169677734375,2.2736925329461326,0.6060606060606061,11.0,11.0,62,16.253968253968253,0.0546875
City-temp.csv,51,0.0,11.0,1.0,10.0,8.71484375,17.629623413085938,4.198764510315616,1.7302052785923754,11.0,11.0,177,5.752808988764045,0.228515625
City-temp.csv,52,1.7569546120058566,11.0,1.0,10.0,3.08984375,16.530990600585938,4.065832092030601,1.6226783968719452,1.0,11.0,166,6.131736526946108,0.791015625
City-temp.csv,53,1.4370245139475908,11.0,1.0,10.0,7.5234375,22.67913818359375,4.762261876838962,1.0850439882697946,11.0,11.0,111,9.142857142857142,0.34765625
City-temp.csv,54,0.6507592190889371,11.0,1.0,10.0,7.50390625,22.738265991210938,4.768465790084997,2.5317693059628543,11.0,11.0,259,3.9384615384615387,0.349609375
